chunk_id,source,text,citation_label,citation_url,age_group,fitness_factors,grade
criteria:020-성인-F,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 성인 여자: 19~24세 1등급 30.0회, 2등급 25.0회, 3등급 19.0회 / 25~29세 1등급 28.0회, 2등급 23.0회, 3등급 17.0회 / 30~34세 1등급 26.0회, 2등급 21.0회, 3등급 16.0회 / 35~39세 1등급 25.0회, 2등급 20.0회, 3등급 15.0회 / 40~44세 1등급 24.0회, 2등급 20.0회, 3등급 15.0회 / 45~49세 1등급 23.0회, 2등급 18.0회, 3등급 14.0회 / 50~54세 1등급 21.0회, 2등급 16.0회, 3등급 12.0회 / 55~59세 1등급 18.0회, 2등급 14.0회, 3등급 11.0회 / 60~64세 1등급 15.0회, 2등급 12.0회, 3등급 9.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-성인-M,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 성인 남자: 19~24세 1등급 62.0회, 2등급 52.0회, 3등급 41.0회 / 25~29세 1등급 54.0회, 2등급 44.0회, 3등급 34.0회 / 30~34세 1등급 49.0회, 2등급 40.0회, 3등급 31.0회 / 35~39세 1등급 45.0회, 2등급 37.0회, 3등급 28.0회 / 40~44세 1등급 42.0회, 2등급 35.0회, 3등급 27.0회 / 45~49세 1등급 40.0회, 2등급 32.0회, 3등급 24.0회 / 50~54세 1등급 35.0회, 2등급 28.0회, 3등급 21.0회 / 55~59세 1등급 31.0회, 2등급 25.0회, 3등급 18.0회 / 60~64세 1등급 26.0회, 2등급 20.0회, 3등급 15.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-유소년-F,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 유소년 여자: 11~11세 1등급 62.0회, 2등급 51.0회, 3등급 40.0회 / 12~12세 1등급 62.0회, 2등급 51.0회, 3등급 43.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-유소년-M,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 유소년 남자: 11~11세 1등급 77.0회, 2등급 59.0회, 3등급 46.0회 / 12~12세 1등급 91.0회, 2등급 70.0회, 3등급 55.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-유아기-F,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 유아기 여자: 48~53개월 1등급 49.0회, 2등급 36.0회, 3등급 28.0회 / 54~59개월 1등급 62.0회, 2등급 50.0회, 3등급 36.0회 / 60~65개월 1등급 67.0회, 2등급 53.0회, 3등급 39.0회 / 66~71개월 1등급 73.0회, 2등급 55.0회, 3등급 41.0회 / 72~83개월 1등급 84.0회, 2등급 60.0회, 3등급 42.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-유아기-M,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 유아기 남자: 48~53개월 1등급 48.0회, 2등급 35.0회, 3등급 25.0회 / 54~59개월 1등급 59.0회, 2등급 44.0회, 3등급 34.0회 / 60~65개월 1등급 63.0회, 2등급 48.0회, 3등급 31.0회 / 66~71개월 1등급 78.0회, 2등급 57.0회, 3등급 38.0회 / 72~83개월 1등급 93.0회, 2등급 64.0회, 3등급 45.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-청소년-F,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 청소년 여자: 13~13세 1등급 32.0회, 2등급 25.0회, 3등급 19.0회 / 14~14세 1등급 34.0회, 2등급 26.0회, 3등급 19.0회 / 15~15세 1등급 32.0회, 2등급 26.0회, 3등급 19.0회 / 16~16세 1등급 32.0회, 2등급 25.0회, 3등급 19.0회 / 17~17세 1등급 35.0회, 2등급 27.0회, 3등급 19.0회 / 18~18세 1등급 40.0회, 2등급 30.0회, 3등급 21.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:020-청소년-M,criteria,"국민체력100 인증 기준 · 왕복오래달리기(회) · 청소년 남자: 13~13세 1등급 50.0회, 2등급 40.0회, 3등급 30.0회 / 14~14세 1등급 56.0회, 2등급 46.0회, 3등급 36.0회 / 15~15세 1등급 56.0회, 2등급 46.0회, 3등급 36.0회 / 16~16세 1등급 57.0회, 2등급 47.0회, 3등급 36.0회 / 17~17세 1등급 59.0회, 2등급 48.0회, 3등급 37.0회 / 18~18세 1등급 61.0회, 2등급 49.0회, 3등급 37.0회",국민체력100 인증 기준 · 왕복오래달리기,,,심폐지구력,
criteria:021-성인-F,criteria,"국민체력100 인증 기준 · 10m4회왕복달리기(초) · 성인 여자: 19~24세 1등급 12.3초, 2등급 13.2초 / 25~29세 1등급 12.7초, 2등급 13.6초 / 30~34세 1등급 12.9초, 2등급 13.9초 / 35~39세 1등급 13.0초, 2등급 13.9초 / 40~44세 1등급 13.1초, 2등급 14.0초 / 45~49세 1등급 13.4초, 2등급 14.4초 / 50~54세 1등급 13.8초, 2등급 14.9초 / 55~59세 1등급 14.5초, 2등급 15.8초 / 60~64세 1등급 15.3초, 2등급 16.8초",국민체력100 인증 기준 · 10m4회왕복달리기,,,민첩성,
criteria:021-성인-M,criteria,"국민체력100 인증 기준 · 10m4회왕복달리기(초) · 성인 남자: 19~24세 1등급 9.9초, 2등급 10.9초 / 25~29세 1등급 10.3초, 2등급 11.2초 / 30~34세 1등급 10.6초, 2등급 11.6초 / 35~39세 1등급 10.9초, 2등급 11.9초 / 40~44세 1등급 11.0초, 2등급 12.1초 / 45~49세 1등급 11.3초, 2등급 12.5초 / 50~54세 1등급 11.8초, 2등급 13.0초 / 55~59세 1등급 12.3초, 2등급 13.7초 / 60~64세 1등급 13.1초, 2등급 14.6초",국민체력100 인증 기준 · 10m4회왕복달리기,,,민첩성,
criteria:022-성인-F,criteria,"국민체력100 인증 기준 · 제자리멀리뛰기(cm) · 성인 여자: 19~24세 1등급 162.0cm, 2등급 149.0cm / 25~29세 1등급 156.0cm, 2등급 144.0cm / 30~34세 1등급 154.0cm, 2등급 142.0cm / 35~39세 1등급 155.0cm, 2등급 144.0cm / 40~44세 1등급 153.0cm, 2등급 142.0cm / 45~49세 1등급 148.0cm, 2등급 136.0cm / 50~54세 1등급 138.0cm, 2등급 126.0cm / 55~59세 1등급 129.0cm, 2등급 117.0cm / 60~64세 1등급 120.0cm, 2등급 107.0cm",국민체력100 인증 기준 · 제자리멀리뛰기,,,순발력,
criteria:022-성인-M,criteria,"국민체력100 인증 기준 · 제자리멀리뛰기(cm) · 성인 남자: 19~24세 1등급 229.0cm, 2등급 213.0cm / 25~29세 1등급 223.0cm, 2등급 208.0cm / 30~34세 1등급 219.0cm, 2등급 204.0cm / 35~39세 1등급 214.0cm, 2등급 199.0cm / 40~44세 1등급 209.0cm, 2등급 195.0cm / 45~49세 1등급 202.0cm, 2등급 188.0cm / 50~54세 1등급 192.0cm, 2등급 177.0cm / 55~59세 1등급 183.0cm, 2등급 168.0cm / 60~64세 1등급 170.0cm, 2등급 154.0cm",국민체력100 인증 기준 · 제자리멀리뛰기,,,순발력,
criteria:022-유소년-F,criteria,"국민체력100 인증 기준 · 제자리멀리뛰기(cm) · 유소년 여자: 11~11세 1등급 165.0cm, 2등급 146.0cm / 12~12세 1등급 164.0cm, 2등급 145.0cm",국민체력100 인증 기준 · 제자리멀리뛰기,,,순발력,
criteria:022-유소년-M,criteria,"국민체력100 인증 기준 · 제자리멀리뛰기(cm) · 유소년 남자: 11~11세 1등급 161.0cm, 2등급 147.0cm / 12~12세 1등급 160.3cm, 2등급 146.0cm",국민체력100 인증 기준 · 제자리멀리뛰기,,,순발력,
criteria:022-유아기-F,criteria,"국민체력100 인증 기준 · 제자리멀리뛰기(cm) · 유아기 여자: 48~53개월 1등급 83.0cm, 2등급 70.0cm / 54~59개월 1등급 90.0cm, 2등급 86.0cm / 60~65개월 1등급 95.0cm, 2등급 88.0cm / 66~71개월 1등급 103.0cm, 2등급 96.0cm / 72~83개월 1등급 106.0cm, 2등급 100.0cm",국민체력100 인증 기준 · 제자리멀리뛰기,,,순발력,
criteria:022-유아기-M,criteria,"국민체력100 인증 기준 · 제자리멀리뛰기(cm) · 유아기 남자: 48~53개월 1등급 86.0cm, 2등급 76.0cm / 54~59개월 1등급 97.0cm, 2등급 92.0cm / 60~65개월 1등급 105.0cm, 2등급 95.0cm / 66~71개월 1등급 110.0cm, 2등급 102.0cm / 72~83개월 1등급 118.0cm, 2등급 110.0cm",국민체력100 인증 기준 · 제자리멀리뛰기,,,순발력,
criteria:028-성인-F,criteria,"국민체력100 인증 기준 · 상대악력(%) · 성인 여자: 19~24세 1등급 46.8%, 2등급 42.4%, 3등급 38.0% / 25~29세 1등급 47.0%, 2등급 42.6%, 3등급 38.2% / 30~34세 1등급 49.6%, 2등급 45.2%, 3등급 40.8% / 35~39세 1등급 47.5%, 2등급 43.1%, 3등급 38.7% / 40~44세 1등급 47.1%, 2등급 42.8%, 3등급 38.5% / 45~49세 1등급 46.2%, 2등급 41.9%, 3등급 37.6% / 50~54세 1등급 44.7%, 2등급 40.6%, 3등급 36.5% / 55~59세 1등급 43.2%, 2등급 39.2%, 3등급 35.2% / 60~64세 1등급 41.9%, 2등급 38.0%, 3등급 34.1%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-성인-M,criteria,"국민체력100 인증 기준 · 상대악력(%) · 성인 남자: 19~24세 1등급 62.6%, 2등급 57.2%, 3등급 51.8% / 25~29세 1등급 62.4%, 2등급 57.0%, 3등급 51.6% / 30~34세 1등급 62.6%, 2등급 57.2%, 3등급 51.8% / 35~39세 1등급 62.1%, 2등급 56.6%, 3등급 51.1% / 40~44세 1등급 62.8%, 2등급 57.2%, 3등급 51.6% / 45~49세 1등급 62.0%, 2등급 56.7%, 3등급 51.4% / 50~54세 1등급 60.5%, 2등급 55.3%, 3등급 50.1% / 55~59세 1등급 59.4%, 2등급 54.2%, 3등급 49.0% / 60~64세 1등급 56.8%, 2등급 51.7%, 3등급 46.6%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-유소년-F,criteria,"국민체력100 인증 기준 · 상대악력(%) · 유소년 여자: 11~11세 1등급 44.4%, 2등급 39.5%, 3등급 34.8% / 12~12세 1등급 46.0%, 2등급 41.7%, 3등급 37.2%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-유소년-M,criteria,"국민체력100 인증 기준 · 상대악력(%) · 유소년 남자: 11~11세 1등급 46.5%, 2등급 40.6%, 3등급 35.4% / 12~12세 1등급 51.4%, 2등급 44.5%, 3등급 38.0%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-유아기-F,criteria,"국민체력100 인증 기준 · 상대악력(%) · 유아기 여자: 48~53개월 1등급 44.3%, 2등급 40.3%, 3등급 34.3% / 54~59개월 1등급 51.1%, 2등급 43.7%, 3등급 37.3% / 60~65개월 1등급 48.9%, 2등급 42.8%, 3등급 37.9% / 66~71개월 1등급 53.7%, 2등급 46.8%, 3등급 39.8% / 72~83개월 1등급 51.9%, 2등급 47.4%, 3등급 41.5%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-유아기-M,criteria,"국민체력100 인증 기준 · 상대악력(%) · 유아기 남자: 48~53개월 1등급 49.3%, 2등급 41.4%, 3등급 36.1% / 54~59개월 1등급 52.9%, 2등급 46.1%, 3등급 40.6% / 60~65개월 1등급 53.8%, 2등급 47.4%, 3등급 41.7% / 66~71개월 1등급 54.1%, 2등급 48.8%, 3등급 41.3% / 72~83개월 1등급 56.3%, 2등급 49.6%, 3등급 43.2%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-청소년-F,criteria,"국민체력100 인증 기준 · 상대악력(%) · 청소년 여자: 13~13세 1등급 44.7%, 2등급 40.5%, 3등급 36.3% / 14~14세 1등급 44.7%, 2등급 40.4%, 3등급 36.1% / 15~15세 1등급 44.2%, 2등급 40.2%, 3등급 36.2% / 16~16세 1등급 43.5%, 2등급 39.0%, 3등급 34.5% / 17~17세 1등급 45.7%, 2등급 41.2%, 3등급 36.7% / 18~18세 1등급 48.4%, 2등급 43.6%, 3등급 38.8%",국민체력100 인증 기준 · 상대악력,,,근력,
criteria:028-청소년-M,criteria,"국민체력100 인증 기준 · 상대악력(%) · 청소년 남자: 13~13세 1등급 51.8%, 2등급 46.4%, 3등급 41.0% / 14~14세 1등급 55.0%, 2등급 49.8%, 3등급 44.6% / 15~15세 1등급 58.7%, 2등급 53.0%, 3등급 47.3% / 16~16세 1등급 61.8%, 2등급 55.5%, 3등급 49.2% / 17~17세 1등급 62.6%, 2등급 56.4%, 3등급 50.2% / 18~18세 1등급 61.8%, 2등급 56.0%, 3등급 50.2%",국민체력100 인증 기준 · 상대악력,,,근력,
