video_id,seq,name_on_video,phase_on_video,start_sec,end_sec,duration_sec
Eg3GpTv7z8s,20,의자에 앉았다 일어서기,본운동,1008,1044,36
Eg3GpTv7z8s,21,서서 재기차기,본운동,1048,1100,52
Eg3GpTv7z8s,22,상체숙여 다리 늘리기,본운동,1104,1150,46
Eg3GpTv7z8s,23,의자에 앉았다 일어서기,본운동,1154,1192,38
Eg3GpTv7z8s,24,서서 재기차기,본운동,1194,1252,58
Eg3GpTv7z8s,25,상체숙여 다리 늘리기,본운동,1254,1304,50
Eg3GpTv7z8s,26,옆으로 누워 발 뒤로 넘기기,정리운동,1316,1372,56
Eg3GpTv7z8s,27,손목잡고 팔 늘리기,정리운동,1376,1422,46
Eg3GpTv7z8s,28,다리 뒤 늘리기,정리운동,1426,1466,40
Eg3GpTv7z8s,29,손 뒤에서 깍지 끼고 가슴펴기,정리운동,1470,1496,26
Eg3GpTv7z8s,30,누워서 무릎 구부려 당기기,정리운동,1502,1540,38
Eg3GpTv7z8s,31,한 팔 뻗어 옆구리 스트레칭,정리운동,1544,1590,46
Eg3GpTv7z8s,32,엎드려 상체 들어올리기,정리운동,1594,1616,22
Eg3GpTv7z8s,33,가슴 뒤로 젖히기,정리운동,1622,1642,20
Eg3GpTv7z8s,34,가슴 열고 몸 회전하기,정리운동,1648,1668,20
Eg3GpTv7z8s,35,팔 뒤로 젖히며 가슴 스트레칭,정리운동,1694,1716,22
Eg3GpTv7z8s,36,양팔 벌려 전신 비틀기,정리운동,1746,1766,20
Eg3GpTv7z8s,37,다리 뻗어 상체 숙이기,정리운동,1770,1816,46
Eg3GpTv7z8s,38,어깨 늘리기,정리운동,1822,1860,38
F983gS5mwJg,1,인사 체조,,8,74,66
F983gS5mwJg,2,흔들어 체조,,74,152,78
F983gS5mwJg,3,거북이 스트레칭,,152,226,74
F983gS5mwJg,4,알록달록 길을 걸어요,,228,468,240
F983gS5mwJg,5,우리 모두 다 같이,,938,1014,76
F983gS5mwJg,6,알록달록 길을 걸어요,,1018,1258,240
F983gS5mwJg,7,거북이 스트레칭,,1430,1504,74
GkoUyt8uIXA,1,인사 체조,,8,74,66
GkoUyt8uIXA,2,흔들어 체조,,74,152,78
GkoUyt8uIXA,3,거북이 스트레칭,,152,226,74
GkoUyt8uIXA,4,끝까지 굴려요,,228,468,240
GkoUyt8uIXA,5,우리 모두 다 같이,,872,950,78
GkoUyt8uIXA,6,끝까지 굴려요,,952,1192,240
GkoUyt8uIXA,7,거북이 스트레칭,,1252,1324,72
HXS4NM82zd0,1,목 좌-우-앞-뒤-대각선 당기기,,98,188,90
HXS4NM82zd0,2,팔 안쪽으로 당기기,,190,270,80
HXS4NM82zd0,3,가슴 앞으로 내밀기,,272,308,36
HXS4NM82zd0,4,등 뒤로 보내기,,314,356,42
HXS4NM82zd0,5,의자에서 상체 비틀기,,364,444,80
HXS4NM82zd0,6,의자에서 상체 좌우 숙이기,,448,526,78
HXS4NM82zd0,7,팔 머리 위로 굽혀 당기기,,532,608,76
HXS4NM82zd0,8,책상에서 팔 펴주기,,612,656,44
HXS4NM82zd0,9,무릎올려 대각선 당기기,,658,742,84
HXS4NM82zd0,10,서서 외발 굽혀 당기기,,746,828,82
HXS4NM82zd0,11,외발 들어 발목 잡기,,834,912,78
HXS4NM82zd0,12,양발 벌려 밀어주기,,916,992,76
HXS4NM82zd0,13,종아리 밀고 당기기,,996,1050,54
HYl0oA1Ptyw,1,옆으로 누워 발 뒤로 넘기기,준비운동,76,114,38
HYl0oA1Ptyw,2,넙다리 안쪽 늘리기 (나비자세),준비운동,118,156,38
HYl0oA1Ptyw,3,척추 들어올리기 (고양이자세),준비운동,160,198,38
HYl0oA1Ptyw,4,엎드려 어깨 눌러주기 (아기자세),준비운동,204,244,40
HYl0oA1Ptyw,5,누워서 무릎 구부려 당기기,준비운동,250,296,46
HYl0oA1Ptyw,6,서서 다리 뒤로뻗어 상체 숙이기,준비운동,302,354,52
HYl0oA1Ptyw,7,상체숙여 발목 잡기,준비운동,362,426,64
HYl0oA1Ptyw,8,제자리 무릎 올려 달리기,본운동,432,456,24
HYl0oA1Ptyw,9,"엎드려 팔고 걷고, 되돌아 오기",본운동,458,490,32
HYl0oA1Ptyw,10,쪼그려 앉고 앞-뒤-좌-우로 뛰어오르기,본운동,492,518,26
HYl0oA1Ptyw,11,누워서 한발 뻗어 윗몸 일으키기,본운동,544,572,28
HYl0oA1Ptyw,12,왕복 달리기,본운동,574,602,28
HYl0oA1Ptyw,13,팔굽혀 펴기하고 상체 비틀기,본운동,604,656,52
HYl0oA1Ptyw,14,양 발 넓게 벌리고 서서 옆으로 쪼그려 앉기,본운동,658,706,48
HYl0oA1Ptyw,15,엎드려 누워서 양팔 가슴으로 끌어 내리기,본운동,708,754,46
HYl0oA1Ptyw,16,몸통 비틀며 윗몸일으키기,본운동,756,788,32
HYl0oA1Ptyw,17,서서 다리 뒤로뻗어 상체 숙이기,본운동,790,822,32
HYl0oA1Ptyw,18,휴식,본운동,826,892,66
HYl0oA1Ptyw,19,휴식,본운동,894,918,24
HYl0oA1Ptyw,20,제자리 무릎 올려 달리기,본운동,920,944,24
HYl0oA1Ptyw,21,"엎드려 팔고 걷고, 되돌아 오기",본운동,946,980,34
HYl0oA1Ptyw,22,쪼그려 앉고 앞-뒤-좌-우로 뛰어오르기,본운동,982,1006,24
HYl0oA1Ptyw,23,누워서 한발 뻗어 윗몸 일으키기,본운동,1030,1058,28
HYl0oA1Ptyw,24,왕복 달리기,본운동,1060,1084,24
HYl0oA1Ptyw,25,팔굽혀 펴기하고 상체 비틀기,본운동,1086,1132,46
HYl0oA1Ptyw,26,양 발 넓게 벌리고 서서 옆으로 쪼그려 앉기,본운동,1134,1178,44
HYl0oA1Ptyw,27,엎드려 누워서 양팔 가슴으로 끌어 내리기,본운동,1182,1216,34
HYl0oA1Ptyw,28,몸통 비틀며 윗몸일으키기,본운동,1218,1246,28
HYl0oA1Ptyw,29,서서 다리 뒤로뻗어 상체 숙이기,본운동,1250,1284,34
HYl0oA1Ptyw,30,휴식,본운동,1288,1380,92
HYl0oA1Ptyw,31,제자리 무릎 올려 달리기,본운동,1384,1404,20
HYl0oA1Ptyw,32,"엎드려 팔고 걷고, 되돌아 오기",본운동,1408,1440,32
HYl0oA1Ptyw,33,쪼그려 앉고 앞-뒤-좌-우로 뛰어오르기,본운동,1442,1468,26
HYl0oA1Ptyw,34,누워서 한발 뻗어 윗몸 일으키기,본운동,1492,1518,26
HYl0oA1Ptyw,35,왕복 달리기,본운동,1522,1546,24
HYl0oA1Ptyw,36,팔굽혀 펴기하고 상체 비틀기,본운동,1550,1596,46
HYl0oA1Ptyw,37,양 발 넓게 벌리고 서서 옆으로 쪼그려 앉기,본운동,1598,1640,42
HYl0oA1Ptyw,38,엎드려 누워서 양팔 가슴으로 끌어 내리기,본운동,1644,1676,32
HYl0oA1Ptyw,39,몸통 비틀며 윗몸일으키기,본운동,1680,1706,26
HYl0oA1Ptyw,40,서서 다리 뒤로뻗어 상체 숙이기,본운동,1710,1738,28
HYl0oA1Ptyw,41,휴식,본운동,1744,1834,90
HYl0oA1Ptyw,42,옆으로 누워 발 뒤로 넘기기,정리운동,1846,1902,56
HYl0oA1Ptyw,43,손목잡고 팔 늘리기,정리운동,1906,1952,46
HYl0oA1Ptyw,44,다리 뒤 늘리기,정리운동,1956,1996,40
HYl0oA1Ptyw,45,손 뒤로 깍지 끼고 가슴펴기,정리운동,2000,2028,28
HYl0oA1Ptyw,46,누워서 무릎 구부려 당기기,정리운동,2032,2070,38
HYl0oA1Ptyw,47,한 팔 뻗어 옆구리 스트레칭,정리운동,2074,2120,46
HYl0oA1Ptyw,48,엎드려 상체 들어올리기,정리운동,2124,2146,22
HYl0oA1Ptyw,49,가슴 뒤로 젖히기,정리운동,2152,2172,20
HYl0oA1Ptyw,50,가슴 열고 몸 회전하기,정리운동,2178,2198,20
HYl0oA1Ptyw,51,팔 뒤로 젖히며 가슴 스트레칭,정리운동,2224,2246,22
HYl0oA1Ptyw,52,양팔 벌려 전신 비틀기,정리운동,2276,2296,20
HYl0oA1Ptyw,53,다리뻗어 상체 숙이기,정리운동,2300,2346,46
HYl0oA1Ptyw,54,어깨 늘리기,정리운동,2352,2390,38
IdpXx2gm90o,1,스트레칭,,56,196,140
IdpXx2gm90o,2,팔 벌려 뛰기,본운동,198,262,64
IdpXx2gm90o,3,암워킹,본운동,266,376,110
IdpXx2gm90o,4,암워킹,본운동,378,404,26
IdpXx2gm90o,5,스쿼트,본운동,424,498,74
IdpXx2gm90o,6,버피,본운동,518,600,82
IdpXx2gm90o,7,와이드 스쿼트,본운동,602,714,112
IfV5H7USgaA,1,신나게 걸어요,,32,104,72
IfV5H7USgaA,2,앉았다 일어나요,,104,160,56
IfV5H7USgaA,3,힘내서 버텨요,,160,216,56
IfV5H7USgaA,4,네 발로 걸어요,,218,264,46
IfV5H7USgaA,5,암터치 해봐요,,266,326,60
IfV5H7USgaA,6,엉금엉금 기어요,,326,374,48
IfV5H7USgaA,7,브릿지 만들어요,,374,432,58
IfV5H7USgaA,8,윗몸 말아 올려요,,434,510,76
IhShIA-WJNE,1,H쪽으로 실시한다,준비운동,62,88,26
IhShIA-WJNE,2,양손을 대고 머리를 천천히 뒤로 젖힌다,정리운동,980,1004,24
IhShIA-WJNE,3,팔꿈치를 좌측으로 천천히 당긴다,정리운동,1038,1058,20
In2fsTmsggw,1,'칼로리 폭탄' 운동,,10,74,64
In2fsTmsggw,2,점프 스쿼트,,114,150,36
In2fsTmsggw,3,하프 버피,,624,650,26
In2fsTmsggw,4,점프 스쿼트,,650,676,26
In2fsTmsggw,5,카프레이즈,,676,702,26
In2fsTmsggw,6,마운틴 클라이머,,702,728,26
In2fsTmsggw,7,암 워킹,,728,754,26
In2fsTmsggw,8,크런치,,754,780,26
In2fsTmsggw,9,힐 터치,,780,806,26
In2fsTmsggw,10,푸쉬업,,806,830,24
In2fsTmsggw,11,벤트 오버 로우,,830,856,26
