age_group,age_lo,age_hi,age_unit,sex,factor,item_code,item_name,unit,lower_is_better,status,n_measured,n,method,grade3_from_p25,anchor_0,anchor_40,anchor_60,anchor_80,anchor_100,value_min,value_max,score_p10,score_p25,score_p50,score_p75,score_p90,score_mean
성인,19,24,세,F,순발력,041,성인체공시간,초,0,ok,15564,15564,ecdf,1,0.3473,0.424,0.447,0.479,0.554,0.001,0.725,14.07,40.0,64.59,80.0,92.95,58.52
성인,25,29,세,M,유연성,012,앉아윗몸앞으로굽히기,cm,0,ok,25009,25009,ecdf,0,-15.384,5.3,10.1,14.9,23.7,-30.0,50.0,10.89,31.06,57.98,80.64,93.15,55.03
성인,25,29,세,M,근지구력,019,교차윗몸일으키기,회,0,ok,25036,25036,ecdf,0,15.0,38.0,45.0,51.0,62.0,0.0,83.0,11.11,28.84,54.24,76.57,93.18,53.11
성인,25,29,세,M,심폐지구력,020,왕복오래달리기,회,0,ok,9351,9351,ecdf,0,9.0,34.0,44.0,54.0,72.0,0.0,120.0,10.49,30.25,54.92,80.0,92.52,53.66
성인,25,29,세,M,민첩성,021,10m4회왕복달리기,초,1,ok,8077,8077,ecdf,1,-13.5148,-11.31,-11.2,-10.3,-9.2621,7.74,30.0,13.94,40.0,70.36,83.57,94.39,62.64
성인,25,29,세,M,순발력,022,제자리멀리뛰기,cm,0,ok,15647,15647,ecdf,1,153.0,198.0,208.0,223.0,260.0,0.0,318.0,14.7,40.0,69.74,86.83,95.39,62.4
성인,25,29,세,M,근력,028,상대악력,%,0,ok,25405,25405,ecdf,0,40.1,51.6,57.0,62.4,83.4,0.0,159.4,23.56,51.26,76.94,89.86,96.45,68.03
성인,25,29,세,M,심폐지구력,035,트레드밀VO2max,ml/kg/min,0,ok,3122,3122,ecdf,0,32.442,39.6,42.2,44.8,51.858,21.1,65.1,20.2,48.0,71.39,88.14,95.89,65.24
성인,25,29,세,M,심폐지구력,037,스텝검사VO2max,ml/kg/min,0,ok,12917,12917,ecdf,0,34.2,39.6,42.2,44.8,51.0,22.9,56.1,26.95,53.44,74.94,88.73,96.11,68.15
성인,25,29,세,M,민첩성,040,반응시간,초,1,ok,16928,16928,ecdf,1,-0.481,-0.372,-0.335,-0.302,-0.257,0.033,1.999,13.97,40.0,56.94,75.26,89.92,55.1
