age_group,sex,age,grade,n,ratio
성인,M,33,2등급,743,0.1697
성인,M,33,3등급,870,0.1987
성인,M,33,참가,786,0.1795
성인,M,34,1등급,266,0.0688
성인,M,34,2등급,653,0.169
성인,M,34,3등급,786,0.2034
성인,M,34,참가,769,0.199
성인,M,35,1등급,286,0.0829
성인,M,35,2등급,614,0.178
성인,M,35,3등급,673,0.1951
성인,M,35,참가,652,0.189
성인,M,36,1등급,306,0.0951
성인,M,36,2등급,513,0.1594
성인,M,36,3등급,625,0.1942
성인,M,36,참가,659,0.2048
성인,M,37,1등급,230,0.0781
성인,M,37,2등급,492,0.1671
성인,M,37,3등급,591,0.2007
성인,M,37,참가,592,0.2011
성인,M,38,1등급,293,0.1038
성인,M,38,2등급,461,0.1633
성인,M,38,3등급,562,0.1991
성인,M,38,참가,544,0.1927
성인,M,39,1등급,240,0.0894
성인,M,39,2등급,459,0.171
성인,M,39,3등급,514,0.1915
성인,M,39,참가,512,0.1908
성인,M,40,1등급,244,0.0991
성인,M,40,2등급,409,0.1662
성인,M,40,3등급,445,0.1808
성인,M,40,참가,501,0.2036
성인,M,41,1등급,199,0.0799
성인,M,41,2등급,371,0.1489
성인,M,41,3등급,505,0.2026
성인,M,41,참가,548,0.2199
성인,M,42,1등급,185,0.0735
성인,M,42,2등급,422,0.1676
성인,M,42,3등급,520,0.2065
성인,M,42,참가,509,0.2021
성인,M,43,1등급,208,0.0792
성인,M,43,2등급,413,0.1573
성인,M,43,3등급,532,0.2026
성인,M,43,참가,555,0.2113
성인,M,44,1등급,164,0.0649
성인,M,44,2등급,370,0.1464
성인,M,44,3등급,546,0.2161
성인,M,44,참가,519,0.2054
성인,M,45,1등급,260,0.0929
성인,M,45,2등급,469,0.1676
성인,M,45,3등급,511,0.1826
성인,M,45,참가,611,0.2183
성인,M,46,1등급,182,0.0783
성인,M,46,2등급,371,0.1596
성인,M,46,3등급,473,0.2034
성인,M,46,참가,484,0.2082
성인,M,47,1등급,170,0.0835
성인,M,47,2등급,336,0.165
성인,M,47,3등급,406,0.1994
성인,M,47,참가,424,0.2083
성인,M,48,1등급,163,0.083
성인,M,48,2등급,295,0.1502
성인,M,48,3등급,351,0.1787
성인,M,48,참가,442,0.2251
성인,M,49,1등급,106,0.056
성인,M,49,2등급,256,0.1353
성인,M,49,3등급,370,0.1956
성인,M,49,참가,418,0.2209
성인,M,50,1등급,164,0.0827
성인,M,50,2등급,351,0.1769
성인,M,50,3등급,403,0.2031
성인,M,50,참가,406,0.2046
성인,M,51,1등급,130,0.0654
성인,M,51,2등급,302,0.1519
성인,M,51,3등급,423,0.2128
성인,M,51,참가,404,0.2032
성인,M,52,1등급,152,0.0722
성인,M,52,2등급,345,0.164
성인,M,52,3등급,468,0.2224
성인,M,52,참가,428,0.2034
성인,M,53,1등급,113,0.0549
성인,M,53,2등급,326,0.1583
성인,M,53,3등급,418,0.203
성인,M,53,참가,459,0.2229
성인,M,54,1등급,109,0.054
성인,M,54,2등급,294,0.1455
성인,M,54,3등급,430,0.2129
성인,M,54,참가,458,0.2267
성인,M,55,1등급,161,0.0791
성인,M,55,2등급,394,0.1935
성인,M,55,3등급,362,0.1778
성인,M,55,참가,450,0.221
성인,M,56,1등급,145,0.0741
성인,M,56,2등급,329,0.1681
성인,M,56,3등급,398,0.2034
성인,M,56,참가,405,0.2069
성인,M,57,1등급,117,0.0679
